 188
 5.00            90
 5.29           119
 5.58           164
 5.87           215
 6.16           268
 6.46           290
 6.75           313
 7.04           297
 7.33           324
 7.63           320
 7.92           330
 8.21           348
 8.50           337
 8.80           333
 9.09           332
 9.38           399
 9.67           381
 9.97           378
10.26           427
10.55           506
10.84           585
11.14           680
11.43           514
11.72           519
12.01           576
12.30          1351
12.60          1323
12.89           677
13.18           624
13.47           546
13.77           547
14.06           500
14.35           439
14.64           431
14.94           389
15.23           377
15.52           356
15.81           354
16.11           358
16.40           337
16.69           320
16.98           331
17.28           326
17.57           352
17.86           332
18.15           320
18.45           331
18.74           353
19.03           319
19.32           321
19.61           340
19.91           363
20.20           321
20.49           358
20.78           339
21.08           325
21.37           355
21.66           355
21.95           332
22.25           325
22.54           400
22.83           369
23.12           321
23.42           332
23.71           306
24.00           301
24.29           303
24.59           287
24.88           330
25.17           318
25.46           439
25.76           430
26.05           340
26.34           320
26.63           307
26.92           316
27.22           307
27.51           301
27.80           261
28.09           322
28.39           303
28.68           306
28.97           280
29.26           270
29.56           251
29.85           231
30.14           237
30.43           253
30.73           236
31.02           247
31.31           255
31.60           230
31.90           232
32.19           251
32.48           227
32.77           200
33.07           218
33.36           229
33.65           221
33.94           216
34.23           227
34.53           238
34.82           212
35.11           205
35.40           201
35.70           213
35.99           245
36.28           268
36.57           243
36.87           205
37.16           151
37.45           162
37.74           165
38.04           157
38.33           153
38.62           147
38.91           215
39.21           200
39.50           162
39.79           175
40.08           176
40.38           162
40.67           248
40.96           258
41.25           235
41.54           172
41.84           127
42.13           134
42.42           179
42.71           123
43.01           138
43.30           139
43.59           143
43.88            99
44.18           123
44.47           111
44.76           107
45.05           104
45.35           113
45.64           121
45.93           100
46.22           120
46.52            97
46.81           104
47.10           100
47.39           130
47.69           115
47.98           105
48.27           130
48.56           132
48.85           104
49.15            90
49.44            83
49.73            73
50.02            99
50.32            87
50.61            91
50.90            70
51.19            93
51.49           114
51.78            87
52.07            89
52.36            87
52.66            82
52.95           104
53.24            95
53.53            98
53.83            86
54.12            94
54.41           105
54.70           125
54.99           119
55.29           105
55.58            86
55.87            85
56.16            70
56.46            61
56.75            82
57.04            84
57.33            79
57.63            76
57.92            58
58.21            59
58.50            88
58.80            70
59.09            60
59.38            62
59.67            54
