 143
 5.00            74
 5.17            82
 5.35            93
 5.52            91
 5.70           112
 5.87            87
 6.05           107
 6.22           109
 6.40           111
 6.57            92
 6.75            94
 6.92           108
 7.10           122
 7.28           108
 7.45           125
 7.63           137
 7.80           141
 7.98           146
 8.15           143
 8.33           153
 8.50           153
 8.68           136
 8.85           150
 9.03           174
 9.21           173
 9.38           177
 9.56           212
 9.73           266
 9.91           268
10.08           267
10.26           332
10.43           394
10.61           401
10.78           410
10.96           480
11.14           515
11.31           617
11.49           618
11.66           681
11.84           697
12.01           700
12.19           715
12.36           733
12.54           787
12.71           753
12.89           798
13.07           868
13.24           829
13.42           884
13.59           817
13.77           892
13.94           875
14.12           946
14.29           937
14.47           970
14.64           914
14.82           944
14.99          1018
15.17           940
15.35          1002
15.52           907
15.70          1000
15.87           951
16.05           930
16.22           906
16.40           910
16.57           951
16.75           999
16.92          1045
17.10          1022
17.28          1086
17.45          1067
17.63          1093
17.80          1050
17.98          1292
18.15          1507
18.33          2252
18.50          2613
18.68          2017
18.85          1278
19.03          1064
19.21           994
19.38          1012
19.56           955
19.73           964
19.91           984
20.08           988
20.26          1119
20.43          1547
20.61          5536
20.78          9189
20.96          7034
21.14          2823
21.31          1420
21.49          1170
21.66          1105
21.84          1043
22.01           946
22.19           831
22.36           826
22.54           772
22.71           732
22.89           713
23.07           731
23.24           673
23.42           749
23.59           691
23.77           760
23.94           773
24.12           668
24.29           672
24.47           655
24.64           664
24.82           629
24.99           641
25.17           638
25.35           603
25.52           616
25.70           583
25.87           567
26.05           538
26.22           579
26.40           570
26.57           549
26.75           528
26.92           555
27.10           491
27.28           558
27.45           528
27.63           492
27.80           514
27.98           503
28.15           501
28.33           486
28.50           524
28.68           457
28.85           488
29.03           480
29.21           562
29.38           455
29.56           481
29.73           438
29.91           453
