 314
 5.00            54
 5.17            46
 5.35            44
 5.52            46
 5.70            51
 5.87            51
 6.05            72
 6.22            91
 6.40           111
 6.57           136
 6.75           142
 6.92           222
 7.10           306
 7.28           309
 7.45           383
 7.63           473
 7.80           488
 7.98           525
 8.15           568
 8.33           669
 8.50           639
 8.68           627
 8.85           656
 9.03           621
 9.21           686
 9.38           712
 9.56           726
 9.73           719
 9.91           728
10.08           736
10.26           751
10.43           741
10.61           715
10.78           698
10.96           713
11.14           737
11.31           737
11.49           739
11.66           740
11.84           719
12.01           705
12.19           659
12.36           788
12.54           746
12.71           909
12.89          1215
13.07          1611
13.24          1475
13.42          1020
13.59           815
13.77           715
13.94           701
14.12           715
14.29           885
14.47          2097
14.64          5882
14.82          5152
14.99          2425
15.17          1001
15.35           765
15.52           684
15.70           629
15.87           647
16.05           660
16.22           623
16.40           623
16.57           592
16.75           626
16.92           566
17.10           603
17.28           559
17.45           562
17.63           547
17.80           551
17.98           511
18.15           489
18.33           449
18.50           498
18.68           407
18.85           385
19.03           420
19.21           403
19.38           389
19.56           386
19.73           376
19.91           390
20.08           329
20.26           332
20.43           359
20.61           318
20.78           358
20.96           316
21.14           301
21.31           310
21.49           279
21.66           295
21.84           282
22.01           299
22.19           295
22.36           307
22.54           308
22.71           281
22.89           266
23.07           248
23.24           259
23.42           239
23.59           269
23.77           265
23.94           260
24.12           251
24.29           286
24.47           230
24.64           237
24.82           208
24.99           266
25.17           271
25.35           267
25.52           311
25.70           332
25.87           514
26.05           509
26.22           434
26.40           331
26.57           264
26.75           279
26.92           266
27.10           251
27.28           252
27.45           259
27.63           239
27.80           246
27.98           256
28.15           240
28.33           235
28.50           253
28.68           252
28.85           313
29.03           746
29.21          1181
29.38          1112
29.56           643
29.73           382
29.91           266
30.08           227
30.26           266
30.43           271
30.61           227
30.78           245
30.96           231
31.14           228
31.31           221
31.49           220
31.66           201
31.84           210
32.01           223
32.19           232
32.36           213
32.54           208
32.71           206
32.89           193
33.07           193
33.24           186
33.42           195
33.59           178
33.77           193
33.94           200
34.12           185
34.29           181
34.47           172
34.64           169
34.82           193
34.99           174
35.17           179
35.35           190
35.52           188
35.70           164
35.87           162
36.05           159
36.22           161
36.40           145
36.57           163
36.75           177
36.92           190
37.10           158
37.28           167
37.45           189
37.63           149
37.80           171
37.98           151
38.15           168
38.33           174
38.50           163
38.68           185
38.85           175
39.03           183
39.21           231
39.38           254
39.56           184
39.73           170
39.91           152
40.08           183
40.26           161
40.43           160
40.61           139
40.78           147
40.96           138
41.14           148
41.31           138
41.49           135
41.66           137
41.84           131
42.01           124
42.19           123
42.36           134
42.54           132
42.71           135
42.89           132
43.07           121
43.24           120
43.42           126
43.59           131
43.77           119
43.94           157
44.12           238
44.29           326
44.47           404
44.64           359
44.82           228
44.99           172
45.17           147
45.35           129
45.52           113
45.70           147
45.87           137
46.05           122
46.22           115
46.40           114
46.57            98
46.75           124
46.92           142
47.10           100
47.28           128
47.45           113
47.63           116
47.80           100
47.98           100
48.15            89
48.33            89
48.50           100
48.68           118
48.85            99
49.03            90
49.21            86
49.38            91
49.56           102
49.73            97
49.91            96
50.08            97
50.26            89
50.43            80
50.61            89
50.78            84
50.96            95
51.14            96
51.31            72
51.49            88
51.66           104
51.84           111
52.01           118
52.19           103
52.36           107
52.54           100
52.71            83
52.89            93
53.07           104
53.24           121
53.42           124
53.59            83
53.77            82
53.94            74
54.12            78
54.29            86
54.47            86
54.64            92
54.82            86
54.99            72
55.17            80
55.35            78
55.52            84
55.70            97
55.87            76
56.05            86
56.22            86
56.40            77
56.57            85
56.75            92
56.92            77
57.10            80
57.28            65
57.45            67
57.63            80
57.80            78
57.98            77
58.15            61
58.33            76
58.50            66
58.68            74
58.85            79
59.03            88
59.21            71
59.38            75
59.56            75
59.73            78
59.91            85
