 143
 5.00            13
 5.17            12
 5.35            12
 5.52            11
 5.70            14
 5.87            30
 6.05            20
 6.22            17
 6.40            40
 6.57            34
 6.75            51
 6.92            77
 7.10            87
 7.28            92
 7.45           106
 7.63           115
 7.80           122
 7.98           119
 8.15           143
 8.33           135
 8.50           127
 8.68           134
 8.85           122
 9.03           102
 9.21            89
 9.38           100
 9.56            79
 9.73            71
 9.91            66
10.08            54
10.26            59
10.43            47
10.61            47
10.78            50
10.96            32
11.14            41
11.31            33
11.49            27
11.66            29
11.84            24
12.01            14
12.19            12
12.36            21
12.54            15
12.71            19
12.89            16
13.07            22
13.24            28
13.42            26
13.59            29
13.77            34
13.94            48
14.12            82
14.29           219
14.47           729
14.64          1545
14.82          1260
14.99           565
15.17           271
15.35           214
15.52           194
15.70           170
15.87           144
16.05           182
16.22           163
16.40           156
16.57           126
16.75           145
16.92           108
17.10           106
17.28            94
17.45            87
17.63            98
17.80            93
17.98            78
18.15            66
18.33            60
18.50            51
18.68            62
18.85            38
19.03            46
19.21            37
19.38            50
19.56            50
19.73            34
19.91            35
20.08            38
20.26            38
20.43            35
20.61            40
20.78            31
20.96            27
21.14            28
21.31            25
21.49            28
21.66            23
21.84            34
22.01            18
22.19            38
22.36            38
22.54            26
22.71            22
22.89            33
23.07            22
23.24            24
23.42            22
23.59            38
23.77            29
23.94            18
24.12            16
24.29            24
24.47            28
24.64            24
24.82            20
24.99            30
25.17            18
25.35            28
25.52            14
25.70            28
25.87            25
26.05            23
26.22            23
26.40            14
26.57            27
26.75            24
26.92            20
27.10            27
27.28            14
27.45            29
27.63            26
27.80            26
27.98            24
28.15            26
28.33            31
28.50            42
28.68            44
28.85            97
29.03           240
29.21           352
29.38           290
29.56           116
29.73            65
29.91            64
